JUDGEMENT	PMID
EXCLUDE	19481585
EXCLUDE	19576959
EXCLUDE	19699275
EXCLUDE	19748564
EXCLUDE	19770192
EXCLUDE	19772906
EXCLUDE	19778592
EXCLUDE	19786083
EXCLUDE	19788920
INCLUDE	19796672
EXCLUDE	19804817
INCLUDE	19815003
INCLUDE	19815055
EXCLUDE	19818832
EXCLUDE	19818833
EXCLUDE	19818840
INCLUDE	19819309
EXCLUDE	19822542
EXCLUDE	19825395
INCLUDE	19833105
INCLUDE	19833108
EXCLUDE	19835848
EXCLUDE	19836361
EXCLUDE	19836362
INCLUDE	19837134
INCLUDE	19837136
EXCLUDE	19837137
INCLUDE	19837138
EXCLUDE	19837139
EXCLUDE	19840840
EXCLUDE	19846621
EXCLUDE	19850105
EXCLUDE	19850107
INCLUDE	19850111
EXCLUDE	19853029
INCLUDE	19853587
EXCLUDE	19853643
EXCLUDE	19854241
EXCLUDE	19854242
EXCLUDE	19854243
EXCLUDE	19854244
EXCLUDE	19857467
INCLUDE	19857553
EXCLUDE	19857554
EXCLUDE	19857562
EXCLUDE	19874866
EXCLUDE	19874869
EXCLUDE	19874873
EXCLUDE	19878705
EXCLUDE	19878711
INCLUDE	19879331
EXCLUDE	19879335
EXCLUDE	19879860
EXCLUDE	19879921
EXCLUDE	19879926
EXCLUDE	19879927
EXCLUDE	19883739
EXCLUDE	19884315
EXCLUDE	19889845
EXCLUDE	19889850
EXCLUDE	19892005
EXCLUDE	19895868
EXCLUDE	19895870
EXCLUDE	19895872
EXCLUDE	19896521
INCLUDE	19897018
EXCLUDE	19900959
INCLUDE	19903514
EXCLUDE	19906874
INCLUDE	19906875
EXCLUDE	19906876
EXCLUDE	19906877
EXCLUDE	19906878
EXCLUDE	19906880
INCLUDE	19906884
EXCLUDE	19906885
INCLUDE	19906886
EXCLUDE	19909731
INCLUDE	19909790
EXCLUDE	19909792
INCLUDE	19909793
EXCLUDE	19909794
EXCLUDE	19909796
EXCLUDE	19909797
EXCLUDE	19913606
EXCLUDE	19914223
EXCLUDE	19914335
EXCLUDE	19914337
EXCLUDE	19914353
EXCLUDE	19917566
EXCLUDE	19917569
EXCLUDE	19917570
EXCLUDE	19922772
INCLUDE	19923250
EXCLUDE	19925847
INCLUDE	19925852
INCLUDE	19925855
INCLUDE	19931229
EXCLUDE	19931230
