PMID	SUPPORTS
19931229	The present study investigated the anatomical distribution of cannabinoid-1 receptor (CB1r) in the LC and its association with mu-opioid receptor (MOR).
20620193	Pacemaker currents in mouse locus coeruleus neurons.
19837136	The cell somas were located in the ganglion cell layer (GCL), and all of them were ganglion cells because each of them displayed an axon, as indicated by an arrow in Fig. 1C (Also see left panel in Fig. 1D).|In retinal vertical sections, the dendrites of these cells were found to bistratify in the inner plexiform layer (IPL) (Left panel in Fig. 1D).|Furthermore, as revealed by costaining with an antibody against ChAT, the dendrites of these cells showed co-stratification with the processes of starburst amacrine cells (Fig. 1D).|The cell somas were located in both the inner nuclear layer (INL) and GCL (Left panels of Fig. 2A, B).|These EYFP-positive cells were found to be starburst amacrine cells, the only cholinergic cells in the retina.
19906886	The pre-Bo - tC region was functionally identified in the VRC, where I and E neurons were found, by the typical tachypneic response produced by DLH microinjection into the left VRC.
20064491	Brightfield immunohistochemical staining for Ucn 1 and CART showed that Ucn 1immunoreactivity (ir) was absent at PND 1, while CART-ir was already apparent in pIIIu at birth, a finding indicating that although the pIIIu neurons have already migrated to their adult position, Ucn 1 expression is triggered in them at later postnatal stages. Ucn 1-ir gradually increased with age, approaching adult levels at PND 16.|At PND 8, Ucn 1-ir was present in pIIIu of all mice examined and had increased 3.2 fold from levels at PND 4. Another 2.4 fold increase was observed at PND 12, with mature cell counts leveling off at PND 16, as similar values were observed in the late juvenile/early adolescent mice at PND 24.|CART-positive cells were strongly labeled in pIII starting at PND 1.|In contrast, CART is present in pIIIu and other brain regions at both ages.|Representative sagittal sections showing postnatal development of Ucn 1-ir in pIIIu at high magnification. Ucn 1-positive cells in the pIIIu at PND 1 (A), PND 4 (B), PND 8 (C), PND 12 (D), PND 16 (E), and PND 24 (F).|Representative sagittal sections showing postnatal development of CART-ir in pIII at high magnification. CART-positive cells in pIII at PND 1 (A), PND 4 (B), PND 8 (C), PND 12 (D), PND 16 (E), and PND 24 (F).
20074625	This study explored the effects of exogenous administration of 0.1 M riluzole on the neurite growth of specific subpopulations of adult rat dorsal root ganglion (DRG) neurons in vitro. Neuronal branching and neurite length were measured in calcitonin gene related peptide (CGRP), Griffonia simplicifolia Isolectin B4 (IB4), N52 and parvalbumin positive neuronal subpopulations. Riluzole was found to enhance neurite branching in both CGRP and IB4 positive neurons compared to vehicle treated cultures. However, neurite length was only significantly increased in CGRP positive neurons in riluzole treated cultures.|CGRP positive neurons treated with riluzole showed a significant increase in neurons with complex branching (42.3.01.2%, Fig. 1C-E) compared with those with no outgrowths (23.41.3%) and to complex outgrowths in vehicle treated cultures (25.72.0%, Fig. 1A, B). Quantitative analysis of the longest neurite per cell (Fig. 5) showed that riluzole significantly increased neurite length in CGRP positive neurons (310.622.3 m) compared to vehicle treated cultures (192.536.5 m).|Examples of CGRP positive neurons in vehicle treated (A, B) and riluzole treated (C, D) cultures. Neurons are stained with  III Tubulin (A, C) to identify soma and neurites and are co-stained with CGRP (C, D) to identify the specific DRG subpopulation. (E) shows quantitative analysis of neurite branch pattern in the CGRP positive neurons.|Examples of IB4 positive neurons in vehicle treated (A, B) and riluzole treated (C, D) cultures. Neurons are stained with  III Tubulin (A, C) to identify soma and neurites and are co-stained with IB4 (C, D) to identify the specific DRG subpopulation. (E) shows quantitative analysis of neurite branch pattern in the IB4 positive neurons.
20691167	Purkinje cell numbers in the female rat cerebellum
20807794	Confocal imaging of sEAAT2B labelling in retina A, sEAAT2B labelling (red) with and without background Acridine Orange (AO) (green) nuclear stain in a retinal section. sEAAT2B labels both regular and displaced Off-bipolar cells located in the INL and ONL, respectively. B, single scanning imaging from a double-labelled flat-mounted retina, in which SV2 and sEAAT2B are separately located at photoreceptor terminals and the postsynaptic dendrites, respectively, in the distal OPL.|DHKA-elicited currents in rodand cone-dominated bipolar cells in dark-adapted retinal slices at holding voltage -60 mV, E Cl = -60 mV Aa, DHKA elicits an inward current, which can be blocked by CNQX, in cone-dominated Off-bipolar cells (n = 15).|Off-bipolar cell synapses (Fig. 4Ab), only EAAT2B uptake is blocked|The contribution of sEAAT2A to light responses in rodand cone-dominated bipolar cells A, cone-dominated Off-bipolar cells display a transient inward current at the offset of a 2 s light stimulus.|DHKA causes a large enhancement in the light-offset current.|DHKA enhances the light-offset response.
20937710	Vagal sensory neurons are situated in the nodose (placode derived) and jugular ganglion (neural crest derived).
20018227	Retrograde tracing using a patch loaded with Fast blue (FB) was applied to all four chambers of the rat heart and labeled cardiac spinal afferents were characterized by using three neurochemical markers.
